Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Which log level should developers choose for a new logging statement?","Empirical Software Engineering","","22","4","10.1007/s10664-016-9456-2","Heng LiWeiyi ShangAhmed E. Hassan","2017","http://link.springer.com/article/10.1007/s10664-016-9456-2","Article"
"Studying and detecting log-related issues","Empirical Software Engineering","","23","6","10.1007/s10664-018-9603-z","Mehran HassaniWeiyi ShangEmad ShihabNikolaos Tsantalis","2018","http://link.springer.com/article/10.1007/s10664-018-9603-z","Article"
"Examining the stability of logging statements","Empirical Software Engineering","","23","1","10.1007/s10664-017-9518-0","Suhas KabinnaCor-Paul BezemerWeiyi ShangMark D. SyerAhmed E. Hassan","2018","http://link.springer.com/article/10.1007/s10664-017-9518-0","Article"
"Studying software logging using topic models","Empirical Software Engineering","","23","5","10.1007/s10664-018-9595-8","Heng LiTse-Hsun (Peter) ChenWeiyi ShangAhmed E. Hassan","2018","http://link.springer.com/article/10.1007/s10664-018-9595-8","Article"
"Studying the characteristics of logging practices in mobile apps: a case study on F-Droid","Empirical Software Engineering","","24","6","10.1007/s10664-019-09687-9","Yi ZengJinfu ChenWeiyi ShangTse-Hsun (Peter) Chen","2019","http://link.springer.com/article/10.1007/s10664-019-09687-9","Article"
"To log, or not to log: using heuristics to identify mandatory log events – a controlled experiment","Empirical Software Engineering","","22","5","10.1007/s10664-016-9449-1","Jason KingJon StallingsMaria RiazLaurie Williams","2017","http://link.springer.com/article/10.1007/s10664-016-9449-1","Article"
"Towards just-in-time suggestions for log changes","Empirical Software Engineering","","22","4","10.1007/s10664-016-9467-z","Heng LiWeiyi ShangYing ZouAhmed E. Hassan","2017","http://link.springer.com/article/10.1007/s10664-016-9467-z","Article"
"Characterizing logging practices in Java-based open source software projects – a replication study in Apache Software Foundation","Empirical Software Engineering","","22","1","10.1007/s10664-016-9429-5","Boyuan ChenZhen Ming (Jack) Jiang","2017","http://link.springer.com/article/10.1007/s10664-016-9429-5","Article"
"Experience report on applying software analytics in incident management of online service","Automated Software Engineering","","24","4","10.1007/s10515-017-0218-1","Jian-Guang LouQingwei LinRui DingQiang FuDongmei ZhangTao Xie","2017","http://link.springer.com/article/10.1007/s10515-017-0218-1","Article"
"First international Competition on Runtime Verification: rules, benchmarks, tools, and final results of CRV 2014","International Journal on Software Tools for Technology Transfer","","21","1","10.1007/s10009-017-0454-5","Ezio BartocciYliès FalconeBorzoo BonakdarpourChristian ColomboNormann DeckerKlaus HavelundYogi JoshiFelix KlaedtkeReed MilewiczGiles RegerGrigore RosuJulien SignolesDaniel ThomaEugen ZalinescuYi Zhang","2019","http://link.springer.com/article/10.1007/s10009-017-0454-5","Article"
"An exploratory study on assessing the energy impact of logging on Android applications","Empirical Software Engineering","","23","3","10.1007/s10664-017-9545-x","Shaiful ChowdhurySilvia Di NardoAbram HindleZhen Ming (Jack) Jiang","2018","http://link.springer.com/article/10.1007/s10664-017-9545-x","Article"
"Connecting databases with process mining: a meta model and toolset","Software & Systems Modeling","","18","2","10.1007/s10270-018-0664-7","Eduardo González López de MurillasHajo A. ReijersWil M. P. van der Aalst","2019","http://link.springer.com/article/10.1007/s10270-018-0664-7","Article"
"Noise in Mylyn interaction traces and its impact on developers and recommendation systems","Empirical Software Engineering","","23","2","10.1007/s10664-017-9529-x","Zéphyrin SohFoutse KhomhYann-Gaël GuéhéneucGiuliano Antoniol","2018","http://link.springer.com/article/10.1007/s10664-017-9529-x","Article"
"Continuous validation of performance test workloads","Automated Software Engineering","","24","1","10.1007/s10515-016-0196-8","Mark D. SyerWeiyi ShangZhen Ming JiangAhmed E. Hassan","2017","http://link.springer.com/article/10.1007/s10515-016-0196-8","Article"
"Turning event logs into process movies: animating what has really happened","Software & Systems Modeling","","15","3","10.1007/s10270-014-0432-2","Massimiliano de LeoniSuriadi SuriadiArthur H. M. ter HofstedeWil M. P. van der Aalst","2016","http://link.springer.com/article/10.1007/s10270-014-0432-2","Article"
"Analysis of license inconsistency in large collections of open source projects","Empirical Software Engineering","","22","3","10.1007/s10664-016-9487-8","Yuhao WuYuki ManabeTetsuya KandaDaniel M. GermanKatsuro Inoue","2017","http://link.springer.com/article/10.1007/s10664-016-9487-8","Article"
"Extracting and studying the Logging-Code-Issue- Introducing changes in Java-based large-scale open source software systems","Empirical Software Engineering","","24","4","10.1007/s10664-019-09690-0","Boyuan ChenZhen Ming (Jack) Jiang","2019","http://link.springer.com/article/10.1007/s10664-019-09690-0","Article"
"A large-scale empirical study of code smells in JavaScript projects","Software Quality Journal","","27","3","10.1007/s11219-019-09442-9","David JohannesFoutse KhomhGiuliano Antoniol","2019","http://link.springer.com/article/10.1007/s11219-019-09442-9","Article"
