Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Rikhtechi, L., Rafe, V., Rezakhani, A.","35811380900; 14054926800; 57189985536","Secured Access Control in Security Information and Event Management Systems",2021,"Journal of Information Systems and Telecommunication",9,"33",,67,78,,,10.52547/jist.9.33.67,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104800387&partnerID=40&md5=eab9cc0993d51308e48ad5d20691a8bb",Article,Final,Open Access,Scopus,2-s2.0-85104800387
"Takaori, K., Iwatani, H., Yamato, M., Ito, T.","57188717229; 6701820183; 57207715556; 57221310613","User of angiotensin-converting-enzyme inhibitor and/or angiotensin II receptor blocker might be associated with vascular calcification in predialysis chronic kidney disease patients: a retrospective single-center observational study: ACEI/ARB and vascular calcification",2021,"BMC Nephrology",22,"1", 7,,,,,10.1186/s12882-020-02198-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098789909&partnerID=40&md5=736a4f2aec59519cf9655303f9cdeb1e",Article,Final,Open Access,Scopus,2-s2.0-85098789909
"Koos, K., Oláh, G., Balassa, T., Mihut, N., Rózsa, M., Ozsvár, A., Tasnadi, E., Barzó, P., Faragó, N., Puskás, L., Molnár, G., Molnár, J., Tamás, G., Horvath, P.","56910131300; 39161791300; 57194569361; 57221344675; 55480363100; 57196176144; 57189293457; 16687654000; 23569543400; 7003598903; 7102876458; 57203176731; 7004980239; 9040610000","Automatic deep learning-driven label-free image-guided patch clamp system",2021,"Nature Communications",12,"1", 936,,,,,10.1038/s41467-021-21291-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101485180&partnerID=40&md5=0fd42344e5de1d0371919adfa760dfbd",Article,Final,Open Access,Scopus,2-s2.0-85101485180
"Yang, K., Song, Y.-Y., Chen, X.-Y., Wang, J.-X., Li, L., Yin, G., Zheng, Y.-C., Wei, M.-D., Lu, M.-J., Zhao, S.-H.","57205163890; 57205344040; 55615061400; 57220124785; 57221560574; 57205343738; 57210821801; 57210567774; 15521304500; 7403578122","Apical hypertrophic cardiomyopathy with left ventricular apical aneurysm: Prevalence, cardiac magnetic resonance characteristics, and prognosis",2021,"European Heart Journal Cardiovascular Imaging",21,"12",,1341,1350,,,10.1093/ehjci/jeaa246,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097004550&partnerID=40&md5=26a6d120d4e2904cb0fb7b1d504d1d40",Article,Final,,Scopus,2-s2.0-85097004550
"Ren, Z., Povysil, G., Hostyk, J.A., Cui, H., Bhardwaj, N., Goldstein, D.B.","57221346675; 57193500089; 57211235245; 57222550269; 10046658400; 7402147672","ATAV: a comprehensive platform for population-scale genomic analyses",2021,"BMC Bioinformatics",22,"1", 149,,,,,10.1186/s12859-021-04071-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103213108&partnerID=40&md5=372ea7b493a07b25fb1f2a1ab1464eda",Article,Final,Open Access,Scopus,2-s2.0-85103213108
"Kassaw, A., Amare, D., Birhanu, M., Tesfaw, A., Zeleke, S., Arage, G., Kefale, D.","57200151469; 57195489214; 57205143843; 57215185256; 57202915888; 56124266300; 57208599991","Survival and predictors of mortality among severe acute malnourished under-five children admitted at Felege-Hiwot comprehensive specialized hospital, northwest, Ethiopia: a retrospective cohort study",2021,"BMC Pediatrics",21,"1", 176,,,,,10.1186/s12887-021-02651-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104386556&partnerID=40&md5=a09cd4b5cc985447b54306d376a5ef7d",Article,Final,Open Access,Scopus,2-s2.0-85104386556
"Yermolaev, O., Mukharamova, S., Vedeneeva, E.","6506371260; 57216459051; 57194659743","River runoff modeling in the European territory of Russia",2021,"Catena",203,"", 105327,,,,,10.1016/j.catena.2021.105327,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103758239&partnerID=40&md5=7a7a44c82cc56c395e931191058c0a92",Article,Final,,Scopus,2-s2.0-85103758239
"Bentzley, B.S., Han, S.S., Neuner, S., Humphreys, K., Kampman, K.M., Halpern, C.H.","55392179100; 57223401402; 57195770798; 35268983500; 7004635669; 7005230519","Comparison of Treatments for Cocaine Use Disorder among Adults: A Systematic Review and Meta-analysis",2021,"JAMA Network Open",4,"5", e218049,,,,,10.1001/jamanetworkopen.2021.8049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105819323&partnerID=40&md5=6c9ac9adceb83e6ded7b7dfe9cc89d1f",Review,Final,Open Access,Scopus,2-s2.0-85105819323
"You, Y., Wang, H., Ren, T., Gu, S.-H., Sun, J.-L.","57220549831; 57221609515; 57223313776; 57223326820; 57220546090","Storage Design of Tracing-logs for Application Performance Management System | 一种监控系统的链路跟踪型日志数据的存储设计",2021,"Ruan Jian Xue Bao/Journal of Software",32,"5",,1302,1321,,,10.13328/j.cnki.jos.006234,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105596973&partnerID=40&md5=8a965decfdc15e6f416c42e7a323fda1",Article,Final,,Scopus,2-s2.0-85105596973
"Hokama, Y., Tanaka, N., Takashima, H., Kadota, K., Fujita, H., Tan, M., Yamada, R., Naruse, H., Kawamura, A., Suzuki, N., Takeuchi, T., Tazaki, J., Yamaki, M., Takamisawa, I., Abe, S., Terai, H., Makiguchi, N., Matsumoto, C., Chikamori, T.","57221098228; 7404271536; 8410240400; 8420104300; 57211619373; 57221103535; 16246895800; 7102785240; 55800962600; 10042589000; 57221095332; 55763322100; 57221101031; 10041243100; 15759217200; 7006433856; 6602650870; 24279773500; 57201317987","Insufficient recovery of fractional flow reserve even after optimal implantation of drug-eluting stents: 3-year outcomes from the FUJI study",2021,"Journal of Cardiology",77,"5",,532,538,,,10.1016/j.jjcc.2020.12.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098206638&partnerID=40&md5=64d93dcbe5454360a13ce781295c39c3",Article,Final,,Scopus,2-s2.0-85098206638
