"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Measuring the forensic-ability of audit logs for nonrepudiation","J. King","Department of Computer Science, North Carolina State University, 890 Oval Drive, Raleigh, NC, USA, 27695","2013 35th International Conference on Software Engineering (ICSE)","26 Sep 2013","2013","","","1419","1422","Forensic analysis of software log files is used to extract user behavior profiles, detect fraud, and check compliance with policies and regulations. Software systems maintain several types of log files for different purposes. For example, a system may maintain logs for debugging, monitoring application performance, and/or tracking user access to system resources. The objective of my research is to develop and validate a minimum set of log file attributes and software security metrics for user nonrepudiation by measuring the degree to which a given audit log file captures the data necessary to allow for meaningful forensic analysis of user behavior within the software system. For a log to enable user nonrepudiation, the log file must record certain data fields, such as a unique user identifier. The log must also record relevant user activity, such as creating, viewing, updating, and deleting system resources, as well as software security events, such as the addition or revocation of user privileges. Using a grounded theory method, I propose a methodology for observing the current state of activity logging mechanisms in healthcare, education, and finance, then I quantify differences between activity logs and logs not specifically intended to capture user activity. I will then propose software security metrics for quantifying the forensic-ability of log files. I will evaluate my work with empirical analysis by comparing the performance of my metrics on several types of log files, including both activity logs and logs not directly intended to record user activity. My research will help software developers strengthen user activity logs for facilitating forensic analysis for user nonrepudiation.","1558-1225","978-1-4673-3076-3","10.1109/ICSE.2013.6606732","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6606732","forensics;metric;security;nonrepudiation;logging;software logs;grounded theory","Forensics;Measurement;Security;Software systems;Standards;Medical services","auditing;digital forensics;educational computing;financial data processing;fraud;health care;software metrics;system monitoring","finance;education;healthcare;activity logging mechanism;grounded theory method;user privilege revocation;software security events;unique user identifier;data field;user nonrepudiation;software security metrics;log file attribute;system resources;user access tracking;application performance monitoring;debugging;software system;compliance checking;fraud detection;user behavior profile extraction;software log files;forensic analysis;audit log;forensic ability measurement","","1","","15","","26 Sep 2013","","","IEEE","IEEE Conferences"
"Abstracting log lines to log event types for mining software system logs","M. Nagappan; M. A. Vouk","Department of Computer Science, North Carolina State University, Raleigh, USA; Department of Computer Science, North Carolina State University, Raleigh, USA","2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010)","13 May 2010","2010","","","114","117","Log files contain valuable information about the execution of a system. This information is often used for debugging, operational profiling, finding anomalies, detecting security threats, measuring performance etc. The log files are usually too big for extracting this valuable information manually, even though manual perusal is still one of the more widely used techniques. Recently a variety of data mining and machine learning algorithms are being used to analyze the information in the log files. A major road block for the efficient use of these algorithms is the inherent variability present in every log line of a log file. Each log line is a combination of a static message type field and a variable parameter field. Even though both these fields are required, the analyses algorithm often requires that these be separated out, in order to find correlations in the repeating log event types. This disentangling of the message and parameter fields to find the event types is called abstraction of log lines. Each log line is abstracted to a unique ID or event type and the dynamic parameter value is extracted to give an insight on the current state of the system. In this paper we present a technique based on a clustering technique used in the Simple Log file Clustering Tool for log file abstraction. This solution is especially useful when we don't have access to the source code of the application or when the lines in the log file do not conform to a rigid structure. We evaluated our implementation on log files from the Virtual Computing Lab, a cloud computer management system at North Carolina State University, and abstracted it to 727 unique event types.","2160-1860","978-1-4244-6803-4","10.1109/MSR.2010.5463281","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=5463281","log file abstraction;clustering","Software systems;Data mining;Machine learning algorithms;Algorithm design and analysis;Cloud computing;Debugging;Data security;Information security;Manuals;Information analysis","abstracting;computer debugging;data mining;file organisation;learning (artificial intelligence);software maintenance;system monitoring","software system logs;system execution;debugging;security threats;information extraction;manual perusal;data mining;machine learning algorithms;static message type field;variable parameter field;log event types;log line abstraction;unique ID;parameter value;clustering technique;simple log file clustering tool;log file abstraction;source code access;virtual computing lab;cloud computer management system;North Carolina State University;message disentangling","","26","8","9","","13 May 2010","","","IEEE","IEEE Conferences"
"IEEE Standard for eXtensible Event Stream (XES) for Achieving Interoperability in Event Logs and Event Streams","",,"IEEE Std 1849-2016","10 Nov 2016","2016","","","1","50","A grammar for a tag-based language whose aim is to provide designers of information systems with a unified and extensible methodology for capturing systems behaviors by means of event logs and event streams is defined in the XES standard. An XML Schema describing the structure of an XES event log/stream and a XML Schema describing the structure of an extension of such a log/stream are included in this standard. Moreover, a basic collection of so-called XES extension prototypes that provide semantics to certain attributes as recorded in the event log/stream is included in this standard.;A grammar for a tag-based language whose aim is to provide designers of information systems with a unified and extensible methodology for capturing systems behaviors by means of event logs and event streams is defined in the XES standard. An XML Schema describing the structure of an XES event log/stream and a XML Schema describing the structure of an extension of such a log/stream are included in this standard. Moreover, a basic collection of so-called XES extension prototypes that provide semantics to certain attributes as recorded in the event log/stream is included in this standard.","","978-1-5044-2421-9","10.1109/IEEESTD.2016.7740858","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7740858","event log;event stream;extensions;IEEE 1849(TM);system behavior;XML","IEEE Standards;Event recognition;Behavioral sciences;XML;Information systems;Semantics;Grammar","grammars;IEEE standards;open systems;XML","IEEE standard;extensible event stream;interoperability;event logs;event streams;IEEE Std 1849-2016;grammar;tag-based language;information systems;XML schema;XES extension prototypes","","1","","34","","10 Nov 2016","","","IEEE","IEEE Standards"
"Which log level should developers choose for a new logging statement? (journal-first abstract)","H. Li; W. Shang; A. E. Hassan","Software Analysis and Intelligence Lab (SAIL), Queen's University, Canada; Department of Computer Science and Software Engineering, Concordia University, Canada; Software Analysis and Intelligence Lab (SAIL), Queen's University, Canada","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)","5 Apr 2018","2018","","","468","468","This is an extended abstract of a paper published in the Empirical Software Engineering journal. The original paper is communicated by Mark Grechanik. The paper empirically studied how developers assign log levels to their logging statements and proposed an automated approach to help developers determine the most appropriate log level when they add a new logging statement. We analyzed the development history of four open source projects (Hadoop, Directory Server, Hama, and Qpid). We found that our automated approach can accurately suggest the levels of logging statements with an AUC of 0.75 to 0.81. We also found that the characteristics of the containing block of a newly-added logging statement, the existing logging statements in the containing source code file, and the content of the newly-added logging statement play important roles in determining the appropriate log level for that logging statement.","","978-1-5386-4969-5","10.1109/SANER.2018.8330234","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8330234","software logging;log level;ordinal regression model","","","","","","","","","5 Apr 2018","","","IEEE","IEEE Conferences"
"Automatic Real-Time Mining Software Process Activities From SVN Logs Using a Naive Bayes Classifier","R. Zhu; Y. Dai; T. Li; Z. Ma; M. Zheng; Y. Tang; J. Yuan; Y. Huang","School of Software, Yunnan University, Kunming, China; College of Computer, National University of Defense Technology, Changsha, China; Key Laboratory in Software Engineering of Yunnan Province, Kunming, China; School of Software, Yunnan University, Kunming, China; School of Software, Yunnan University, Kunming, China; School of Software, Yunnan University, Kunming, China; School of Software, Yunnan University, Kunming, China; School of Software, Yunnan University, Kunming, China","IEEE Access","16 Oct 2019","2019","7","","146403","146415","The abundance of event data in current software configuration management systems makes it possible to discover software process models automatically by using actual observed behavior. However, traditional process mining algorithms cannot be applied to event logs recorded in software configuration management (SCM) systems, such as SVN, because of missing activity attributes. To address this problem, a software process activity classifier is proposed to build event-activity mapping relationships from software development event streams, revealing activity attributes and associating the activity to the original SVN log. The proposed approach extracts activity from the SVN log based on semantic features and introduces a novel technique based on a naive Bayes approach to associate event activities dynamically. The approach has been applied to two real-world software development process logs, ArgoUML and jEdit, consisting of more than 80,000 events, covering development information from 1998 to 2015. With the application of our approach to such data, activities can be extracted from event logs and a classifier can be constructed for adding activity attributes to new events. The results of the classification are evaluated in terms of precision rate, recall rate, and the F-measure. Overall, two real-world software development process logs are used to validate the method, and the experimental results show that the approach can mine software process activities from SVN log events automatically and in real-time.","2169-3536","","10.1109/ACCESS.2019.2945608","National Natural Science Foundation of China; Natural Science Foundation of Yunnan Province; Yunnan Provincial Department of Education; Yunnan University; Yunnan University Dong Lu Young-backbone Teacher Training Program; Yunnan University Education Department Science Research Fund Graduate Program; ","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8864026","Activity classifier;machine learning;software process activity;SVN log","Software;Data mining;Semantics;Business;Capability maturity model;Feature extraction","Bayes methods;configuration management;data mining;pattern classification","SVN log;software configuration management systems;event activities;software development event streams;event-activity mapping relationships;software process activity classifier;missing activity attributes;software process models;event data;naive Bayes classifier;SVN logs;automatic real-time mining software process activities;event logs;real-world software development process logs","","1","","29","CCBY","11 Oct 2019","","","IEEE","IEEE Journals"
"An Approach to Recommendation of Verbosity Log Levels Based on Logging Intention","H. Anu; J. Chen; W. Shi; J. Hou; B. Liang; B. Qin",Renmin University of China; Renmin University of China; Renmin University of China; Renmin University of China; Renmin University of China; Renmin University of China,"2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)","5 Dec 2019","2019","","","125","134","Verbosity levels of logs are designed to discriminate highly diverse runtime events, which facilitates system failure identification through simple keyword search (e.g., fatal, error). Verbosity levels should be properly assigned to logging statements, as inappropriate verbosity levels would confuse users and cause a lot of redundant maintenance effort. However, to achieve such a goal is not an easy task due to the lack of practical specifications and guidelines towards verbosity log level usages. The existing research has built a classification model on log related quantitative metrics such as log density to improve logging level practice. Though such quantitative metrics can reveal logging characteristics, their contributions on logging level decision are limited, since valuable logging intention information buried in logging code context can not be captured. In this paper, we propose an automatic approach to help developers determine the appropriate verbosity log levels. More specially, our approach discriminates different verbosity log level usages based on code context features that contain underlying logging intention. To validate our approach, we implement a prototype tool, VerbosityLevelDirector, and perform a case study to measure its effectiveness on four well-known open source software projects. Evaluation results show that VerbosityLevelDirector achieves high performance on verbosity level discrimination and outperforms the baseline approaches on all those projects. Furthermore, through applying noise handling technique, our approach can detect previously unknown inappropriate verbosity level configurations in the code repository. We have reported 21 representative logging level errors with modification advice to issue tracking platforms of the examined software projects and received positive feedback from their developers. The above results confirm that our work can help developers make a better logging level decision in real-world engineering.","2576-3148","978-1-7281-3094-1","10.1109/ICSME.2019.00022","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8919094","logging level decision;logging intention;logging context feature;static code analysis;noise handling technique","Measurement;Tools;Software;Feature extraction;Runtime;Task analysis;Libraries","feature extraction;program diagnostics;public domain software;software maintenance;software metrics","logging statements;inappropriate verbosity levels;verbosity log level usages;log related quantitative metrics;log density;logging level practice;logging characteristics;logging level decision;valuable logging intention information;appropriate verbosity log levels;underlying logging intention;verbosity level discrimination;unknown inappropriate verbosity level configurations;21 representative logging level errors","","1","","35","","5 Dec 2019","","","IEEE","IEEE Conferences"
"Examining the Stability of Logging Statements","S. Kabinna; W. Shang; C. Bezemer; A. E. Hassan","Software Anal. & Intell. Lab., Queen's Univ., Kingston, ON, Canada; Dept. of Comput. Sci. & Software Eng, Concordia Univ., Montreal, QC, Canada; Software Anal. & Intell. Lab., Queen's Univ., Kingston, ON, Canada; Software Anal. & Intell. Lab., Queen's Univ., Kingston, ON, Canada","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","23 May 2016","2016","1","","326","337","Logging statements produce logs that assist in understanding system behavior, monitoring choke-points and debugging. Prior research demonstrated the importance of logging statements in operating, understanding and improving software systems. The importance of logs has lead to a new market of log management and processing tools. However, logs are often unstable, i.e., the logging statements that generate logs are often changed without the consideration of other stakeholders, causing misleading results and failures of log processing tools. In order to proactively mitigate such issues that are caused by unstable logging statements, in this paper we empirically study the stability of logging statements in four open source applications namely:Liferay, ActiveMQ, Camel and Cloud Stack. We find that 20-45% of the logging statements in our studied applications change throughout their lifetime. The median number of days between the introduction of a logging statement and the first change to that statement is between 1 and 17 in our studied applications. These numbers show that in order to reduce maintenance effort, developers of log processing tools must be careful when selecting the logging statements on which they will let their tools depend. In this paper, we make an important first step towards assisting developers of log processing tools in determining whether a logging statement is likely to remain unchanged in the future. Using random forest classifiers, we examine which metrics are important for understanding whether a logging statement will change. We show that our classifiers achieve 83%-91% precision and 65%-85% recall in the four studied applications. We find that file ownership, developer experience, log density and SLOC are important metrics for determining whether a logging statement will change in the future. Developers can use this knowledge to build more robust log processing tools, by making those tools depend on logs that are generated by logging statements that are likely to remain unchanged.","","978-1-5090-1855-0","10.1109/SANER.2016.29","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7476654","Logging Statements;Random Forest;classifier;developer experience;ownership","Java;Libraries;History;Data mining;Monitoring;Measurement;Context","checkpointing;pattern classification;program debugging;public domain software;software metrics;software process improvement;system monitoring","logging statement stability;choke-point monitoring;debugging;software system improvement;log management;log processing tools;open source applications;Liferay;ActiveMQ;Camel;CloudStack;random forest classifiers;SLOC","","17","","37","","23 May 2016","","","IEEE","IEEE Conferences"
"Improving State-of-the-art Compression Techniques for Log Management Tools","K. Yao; M. Sayagh; W. Shang; A. E. Hassan","School of Computing, Queen's University, 4257 Kingston, Ontario, Canada, (e-mail: kundi@cs.queensu.ca); School of Computing, Queen's University, 4257 Kingston, Ontario, Canada, (e-mail: msayagh@cs.queensu.ca); Department of Computer Science and Software Engineering, Concordia University, Montreal, Quebec, Canada, (e-mail: shang@encs.concordia.ca); School of Computing, Queen's University, Kingston, Ontario, Canada, K7L 3N6 (e-mail: ahmed@cs.queensu.ca)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","Log data records important runtime information about the running of a software system for different purposes including performance assurance, capacity planning, and anomaly detection. Log management tools such as ELK Stack and Splunk are widely adopted to manage and leverage log data in order to assist DevOps in real-time log analytics and decision making. To enable fast queries and to save storage space, such tools split log data into small blocks (e.g., 16KB), then index and compress each block separately. Previous log compression studies focus on improving the compression of either large-sized log files or log streams, without considering improving the compression of small log blocks (the actual compression need by modern log management tools). The evaluation of four state-of-the-art compression approaches (e.g., Logzip, a variation of Logzip by pre-extracting log templates named Logzip-E, LogArchive and Cowic) indicates that these approaches do not perform well on small log blocks. In fact, the compressed blocks that are preprocessed using Logzip, Logzip-E, LogArchive or Cowic are even larger (on median 1.3 times, 1.5 times, 0.2 times or 6.6 times) than the compressed blocks without any preprocessing. Hence, we propose an approach named LogBlock to preprocess small log blocks before compressing them with a general compressor such as gzip, deflate and lz4, which are widely adopted by log management tools. Logblock reduces the repetitiveness of logs by preprocessing the log headers and rearranging the log content leading to an improved compression ratio for a log file. Our evaluation on 16 log files shows that, for 16KB to 128KB block sizes, the compressed blocks by LogBlock are on median 5% to 21% smaller than the same compressed blocks without preprocessing (outperforming the state-of-the-art compression approaches). LogBlock achieves both a higher compression ratio (a median of 1.7 to 8.4 times, 1.9 to 10.0 times, 1.3 to 1.9 times and 6.2 to 11.4 times) and a faster compression speed (a median of 30.8 to 49.7 times, 42.6 to 53.8 times, 4.5 to 6.0 times and 2.5 to 4.0 times) than Logzip, Logzip-E, LogArchive and Cowic. LogBlock can help improve the storage efficiency of log management tools.","1939-3520","","10.1109/TSE.2021.3069958","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=9392377","Software log compression;Software logging;Log management tools F","Tools;Indexes;IP networks;Software systems;Runtime;Monitoring;Message systems","","","","","","","IEEE","31 Mar 2021","","","IEEE","IEEE Early Access Articles"
"ISO/IEC/IEEE International Standard - Systems and software engineering -- Vocabulary","",,"ISO/IEC/IEEE 24765:2010(E)","8 Feb 2018","2010","","","1","418","The systems and software engineering disciplines are continuing to mature while information technology advances. This International Standard was prepared to collect and standardize terminology. Its purpose is to identify terms currently in use in the field and standard definitions for these terms. It is intended to serve as a useful reference for those in the Information Technology field, and to encourage the use of systems and software engineering standards prepared by ISO and liaison organizations IEEE Computer Society and Project Management Institute (PMI). This International Standard replaces IEEE Std 610.12-1990, IEEE Standard Glossary of Software Engineering Terminology, which was contributed by the IEEE as a source document. The approach and lexical exactitude of IEEE Std 610.12-1990 served as a model for this International Standard. Nevertheless, approximately two thirds of the definitions in this International Standard are new since IEEE Std 610.12 was last updated in 1990, a reflection of the continued evolution in the field.;ISO/IEC/IEEE 24765:2010 provides a common vocabulary applicable to all systems and software engineering work. It was prepared to collect and standardize terminology. ISO/IEC/IEEE 24765:2010 is intended to serve as a useful reference for those in the information technology field, and to encourage the use of systems and software engineering standards prepared by ISO and liaison organizations IEEE Computer Society and Project Management Institute. ISO/IEC/IEEE 24765:2010 includes references to the active source standards for each definition so that the use of the term can be further explored.","","978-0-7381-6205-8","10.1109/IEEESTD.2010.5733835","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=5733835","computer;dictionary;information technology;software engineering;systems engineering;terminology;vocabulary","IEEE standards;ISO standards;IEC standards;Software engineering;Dictionaries","IEEE standards;ISO standards;software engineering","systems engineering;International Standard;information technology field;IEEE Computer Society;Project Management Institute;IEEE Std 610.12-1990;IEEE Standard Glossary of Software Engineering Terminology","","24","","128","","8 Feb 2018","","","IEEE","IEEE Standards"
"An Exploratory Study of the Evolution of Communicated Information about the Execution of Large Software Systems","W. Shang; Z. M. Jiang; B. Adams; A. E. Hassan; M. W. Godfrey; M. Nasser; P. Flora","Sch. of Comput., Queen's Univ., Kingston, ON, Canada; Sch. of Comput., Queen's Univ., Kingston, ON, Canada; Sch. of Comput., Queen's Univ., Kingston, ON, Canada; Sch. of Comput., Queen's Univ., Kingston, ON, Canada; David R. Cheriton Sch. of Comput. Sci., Univ. of Waterloo, Waterloo, ON, Canada; Performance Eng. Res. In Motion (RIM), Waterloo, ON, Canada; Performance Eng. Res. In Motion (RIM), Waterloo, ON, Canada","2011 18th Working Conference on Reverse Engineering","17 Nov 2011","2011","","","335","344","A great deal of research in software engineering focuses on understanding the dynamic nature of software systems. Such research makes use of automated instrumentation and profiling techniques after fact, i.e., without considering domain knowledge. In this paper, we turn our attention to another source of dynamic information, i.e., the Communicated Information (CI) about the execution of a software system. Major examples of CI are execution logs and system events. They are generated from statements that are inserted intentionally by domain experts (e.g., developers or administrators) to convey crucial points of interest. The accessibility and domain-driven nature of the CI make it a valuable source for studying the evolution of a software system. In a case study on one large open source and one industrial software system, we explore the concept of CI and its evolution by mining the execution logs of these systems. Our study illustrates the need for better trace ability techniques between CI and the Log Processing Apps that analyze the CI. In particular, we find that the CI changes at a rather high rate across versions, leading to fragile Log Processing Apps. 40% to 60% of these changes can be avoided and the impact of 15% to 50% of the changes can be controlled through the use of the robust analysis techniques by Log Processing Apps. We also find that Log Processing Apps that track implementation-level CI (e.g., performance analysis) are more fragile than Log Processing Apps that track domain-level CI (e.g., workload modeling), because the implementation-level CI is often short-lived.","2375-5369","978-1-4577-1948-6","10.1109/WCRE.2011.48","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6079859","Reverse engineering;Software evolution;Communicated information;Execution log analysis","Context;Software systems;Maintenance engineering;Monitoring;History;Educational institutions","program diagnostics;public domain software;recording;reverse engineering","communicated information;large software system execution;software engineering;automated instrumentation;profiling technique;execution logs;domain expert;domain-driven nature;open source system;industrial software system;execution log mining;traceability technique;log processing apps;domain-level CI change","","18","1","33","","17 Nov 2011","","","IEEE","IEEE Conferences"
