Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Studying the relationship between logging characteristics and the code quality of platform software","Empirical Software Engineering","","20","1","10.1007/s10664-013-9274-8","Weiyi ShangMeiyappan NagappanAhmed E. Hassan","2015","http://link.springer.com/article/10.1007/s10664-013-9274-8","Article"
"GUITAR: an innovative tool for automated testing of GUI-driven software","Automated Software Engineering","","21","1","10.1007/s10515-013-0128-9","Bao N. NguyenBryan RobbinsIshan BanerjeeAtif Memon","2014","http://link.springer.com/article/10.1007/s10515-013-0128-9","Article"
"Assessing event correlation in non-process-aware information systems","Software & Systems Modeling","","13","3","10.1007/s10270-012-0285-5","Ricardo Pérez-CastilloBarbara WeberIgnacio García-Rodríguez de GuzmánMario PiattiniJakob Pinggera","2014","http://link.springer.com/article/10.1007/s10270-012-0285-5","Article"
"Eliciting file relationships using metadata based associations for digital forensics","CSI Transactions on ICT","","2","1","10.1007/s40012-014-0046-4","Sriram RaghavanS. V. Raghavan","2014","http://link.springer.com/article/10.1007/s40012-014-0046-4","Article"
"Recovery oriented programming: runtime monitoring of safety and liveness","International Journal on Software Tools for Technology Transfer","","13","4","10.1007/s10009-011-0200-3","Olga BrukmanShlomi Dolev","2011","http://link.springer.com/article/10.1007/s10009-011-0200-3","Article"
"Digital forensic research: current state of the art","CSI Transactions on ICT","","1","1","10.1007/s40012-012-0008-7","Sriram Raghavan","2013","http://link.springer.com/article/10.1007/s40012-012-0008-7","Article"
"Refining code ownership with synchronous changes","Empirical Software Engineering","","17","4 - 5","10.1007/s10664-010-9145-5","Lile Palma HattoriMichele LanzaRomain Robbes","2012","http://link.springer.com/article/10.1007/s10664-010-9145-5","Article"
"Influence of confirmation biases of developers on software quality: an empirical study","Software Quality Journal","","21","2","10.1007/s11219-012-9180-0","Gül ÇalıklıAyşe Başar Bener","2013","http://link.springer.com/article/10.1007/s11219-012-9180-0","Article"
"Automated GUI performance testing","Software Quality Journal","","19","4","10.1007/s11219-011-9135-x","Andrea AdamoliDmitrijs ZaparanuksMilan JovicMatthias Hauswirth","2011","http://link.springer.com/article/10.1007/s11219-011-9135-x","Article"
"Studying the co-evolution of production and test code in open source and industrial developer test processes through repository mining","Empirical Software Engineering","","16","3","10.1007/s10664-010-9143-7","Andy ZaidmanBart Van RompaeyArie van DeursenSerge Demeyer","2011","http://link.springer.com/article/10.1007/s10664-010-9143-7","Article"
"Rule-based runtime verification revisited","International Journal on Software Tools for Technology Transfer","","17","2","10.1007/s10009-014-0309-2","Klaus Havelund","2015","http://link.springer.com/article/10.1007/s10009-014-0309-2","Article"
"Green mining: a methodology of relating software change and configuration to power consumption","Empirical Software Engineering","","20","2","10.1007/s10664-013-9276-6","Abram Hindle","2015","http://link.springer.com/article/10.1007/s10664-013-9276-6","Article"
"Studying the impact of social interactions on software quality","Empirical Software Engineering","","18","2","10.1007/s10664-012-9205-0","Nicolas BettenburgAhmed E. Hassan","2013","http://link.springer.com/article/10.1007/s10664-012-9205-0","Article"
"AFID: an automated approach to collecting software faults","Automated Software Engineering","","17","3","10.1007/s10515-010-0068-6","Alex EdwardsSean TuckerBrian Demsky","2010","http://link.springer.com/article/10.1007/s10515-010-0068-6","Article"
"Conducting quantitative software engineering studies with Alitheia Core","Empirical Software Engineering","","19","4","10.1007/s10664-013-9242-3","Georgios GousiosDiomidis Spinellis","2014","http://link.springer.com/article/10.1007/s10664-013-9242-3","Article"
"Toward objective software process information: experiences from a case study","Software Quality Journal","","19","1","10.1007/s11219-010-9105-8","Jana SamalikovaRob KustersJos TrienekensTon WeijtersPaul Siemons","2011","http://link.springer.com/article/10.1007/s11219-010-9105-8","Article"
"How changes affect software entropy: an empirical study","Empirical Software Engineering","","19","1","10.1007/s10664-012-9214-z","Gerardo CanforaLuigi CeruloMarta CimitileMassimiliano Di Penta","2014","http://link.springer.com/article/10.1007/s10664-012-9214-z","Article"
"Analyzing and mining a code search engine usage log","Empirical Software Engineering","","17","4 - 5","10.1007/s10664-010-9144-6","Sushil Krishna BajracharyaCristina Videira Lopes","2012","http://link.springer.com/article/10.1007/s10664-010-9144-6","Article"
"SMPLearner: learning to predict software maintainability","Automated Software Engineering","","22","1","10.1007/s10515-014-0161-3","Wei ZhangLiGuo HuangVincent NgJidong Ge","2015","http://link.springer.com/article/10.1007/s10515-014-0161-3","Article"
"A Hardware/Software Approach for Database Query Acceleration with FPGAs","International Journal of Parallel Programming","","43","6","10.1007/s10766-014-0327-4","Bharat SukhwaniMathew ThoennesHong MinParijat DubeBernard BrezzoSameh AsaadDonna Dillenberger","2015","http://link.springer.com/article/10.1007/s10766-014-0327-4","Article"
"Environment modeling and simulation for automated testing of soft real-time embedded software","Software & Systems Modeling","","14","1","10.1007/s10270-013-0328-6","Muhammad Zohaib IqbalAndrea ArcuriLionel Briand","2015","http://link.springer.com/article/10.1007/s10270-013-0328-6","Article"
"SPDW+: a seamless approach for capturing quality metrics in software development environments","Software Quality Journal","","18","2","10.1007/s11219-009-9092-9","Patrícia Souza SilveiraKarin BeckerDuncan D. Ruiz","2010","http://link.springer.com/article/10.1007/s11219-009-9092-9","Article"
"BlackHorse: creating smart test cases from brittle recorded tests","Software Quality Journal","","22","2","10.1007/s11219-013-9203-5","Santo CarinoJames H. AndrewsSheldon GouldingPradeepan ArunthavarajahJakub Hertyk","2014","http://link.springer.com/article/10.1007/s11219-013-9203-5","Article"
"The limited impact of individual developer data on software defect prediction","Empirical Software Engineering","","18","3","10.1007/s10664-011-9178-4","Robert M. BellThomas J. OstrandElaine J. Weyuker","2013","http://link.springer.com/article/10.1007/s10664-011-9178-4","Article"
"Measurement and tracing methods for timing analysis","International Journal on Software Tools for Technology Transfer","","15","1","10.1007/s10009-012-0266-6","Nicholas MerriamPeter GliwaIan Broster","2013","http://link.springer.com/article/10.1007/s10009-012-0266-6","Article"
"Model checking software product lines with SNIP","International Journal on Software Tools for Technology Transfer","","14","5","10.1007/s10009-012-0234-1","Andreas ClassenMaxime CordyPatrick HeymansAxel LegayPierre-Yves Schobbens","2012","http://link.springer.com/article/10.1007/s10009-012-0234-1","Article"
"Can traditional fault prediction models be used for vulnerability prediction?","Empirical Software Engineering","","18","1","10.1007/s10664-011-9190-8","Yonghee ShinLaurie Williams","2013","http://link.springer.com/article/10.1007/s10664-011-9190-8","Article"
"Assessing the capability of code smells to explain maintenance problems: an empirical study combining quantitative and qualitative data","Empirical Software Engineering","","19","4","10.1007/s10664-013-9250-3","Aiko Yamashita","2014","http://link.springer.com/article/10.1007/s10664-013-9250-3","Article"
"Integrating conceptual and logical couplings for change impact analysis in software","Empirical Software Engineering","","18","5","10.1007/s10664-012-9233-9","Huzefa KagdiMalcom GethersDenys Poshyvanyk","2013","http://link.springer.com/article/10.1007/s10664-012-9233-9","Article"
"Understanding Ajax applications by connecting client and server-side execution traces","Empirical Software Engineering","","18","2","10.1007/s10664-012-9200-5","Andy ZaidmanNick MatthijssenMargaret-Anne StoreyArie van Deursen","2013","http://link.springer.com/article/10.1007/s10664-012-9200-5","Article"
"A time complexity lower bound for adaptive mutual exclusion","Distributed Computing","","24","6","10.1007/s00446-011-0152-6","Yong-Jik KimJames H. Anderson","2012","http://link.springer.com/article/10.1007/s00446-011-0152-6","Article"
"Mining system logs to learn error predictors: a case study of a telemetry system","Empirical Software Engineering","","20","4","10.1007/s10664-014-9303-2","Barbara RussoGiancarlo SucciWitold Pedrycz","2015","http://link.springer.com/article/10.1007/s10664-014-9303-2","Article"
"Effort estimation of FLOSS projects: a study of the Linux kernel","Empirical Software Engineering","","18","1","10.1007/s10664-011-9191-7","Andrea CapiluppiDaniel Izquierdo-Cortázar","2013","http://link.springer.com/article/10.1007/s10664-011-9191-7","Article"
"Modeling event-based communication in component-based software architectures for performance predictions","Software & Systems Modeling","","13","4","10.1007/s10270-013-0316-x","Christoph RathfelderBenjamin KlattKai SachsSamuel Kounev","2014","http://link.springer.com/article/10.1007/s10270-013-0316-x","Article"
"mbeddr: instantiating a language workbench in the embedded software domain","Automated Software Engineering","","20","3","10.1007/s10515-013-0120-4","Markus VoelterDaniel RatiuBernd KolbBernhard Schaetz","2013","http://link.springer.com/article/10.1007/s10515-013-0120-4","Article"
"SFDCloud: top-k service faults diagnosis in cloud computing","Automated Software Engineering","","21","4","10.1007/s10515-013-0137-8","Zhichun JiaRong ChenXing XingJunjie XuYiwu Xie","2014","http://link.springer.com/article/10.1007/s10515-013-0137-8","Article"
"Hierarchy-Debug: a scalable statistical technique for fault localization","Software Quality Journal","","22","3","10.1007/s11219-013-9199-x","Saeed ParsaMojtaba Vahidi-AslMaryam Asadi-Aghbolaghi","2014","http://link.springer.com/article/10.1007/s11219-013-9199-x","Article"
"A survey of traceability in requirements engineering and model-driven development","Software & Systems Modeling","","9","4","10.1007/s10270-009-0145-0","Stefan WinklerJens von Pilgrim","2010","http://link.springer.com/article/10.1007/s10270-009-0145-0","Article"
"Cloud cover: monitoring large-scale clouds with Varanus","Journal of Cloud Computing","","4","1","10.1186/s13677-015-0041-9","Jonathan Stuart WardAdam Barker","2015","http://link.springer.com/article/10.1186/s13677-015-0041-9","Article"
"An agent based business aware incident detection system for cloud environments","Journal of Cloud Computing: Advances, Systems and Applications","","1","1","10.1186/2192-113X-1-9","Frank DoelitzscherChristoph ReichMartin KnahlAlexander PassfallNathan Clarke","2012","http://link.springer.com/article/10.1186/2192-113X-1-9","Article"
"Performance models of storage contention in cloud environments","Software & Systems Modeling","","12","4","10.1007/s10270-012-0227-2","Stephan KraftGiuliano CasaleDiwakar KrishnamurthyDes GreerPeter Kilpatrick","2013","http://link.springer.com/article/10.1007/s10270-012-0227-2","Article"
"On the use of calling structure information to improve fault prediction","Empirical Software Engineering","","17","4 - 5","10.1007/s10664-011-9165-9","Yonghee ShinRobert M BellThomas J OstrandElaine J Weyuker","2012","http://link.springer.com/article/10.1007/s10664-011-9165-9","Article"
"Understanding privacy policies","Empirical Software Engineering","","18","2","10.1007/s10664-012-9204-1","Ralf LämmelEkaterina Pek","2013","http://link.springer.com/article/10.1007/s10664-012-9204-1","Article"
"An overview of the MOP runtime verification framework","International Journal on Software Tools for Technology Transfer","","14","3","10.1007/s10009-011-0198-6","Patrick O’Neil MeredithDongyun JinDennis GriffithFeng ChenGrigore Roşu","2012","http://link.springer.com/article/10.1007/s10009-011-0198-6","Article"
"Design and evaluation of the ModelHealth toolchain for continuity of care web services","Automated Software Engineering","","20","2","10.1007/s10515-012-0115-6","Ståle Walderhaug","2013","http://link.springer.com/article/10.1007/s10515-012-0115-6","Article"
"Understanding cost drivers of software evolution: a quantitative and qualitative investigation of change effort in two evolving software systems","Empirical Software Engineering","","15","2","10.1007/s10664-009-9118-8","Hans Christian BenestadBente AndaErik Arisholm","2010","http://link.springer.com/article/10.1007/s10664-009-9118-8","Article"
"Charting the API minefield using software telemetry data","Empirical Software Engineering","","20","6","10.1007/s10664-014-9343-7","Maria KechagiaDimitris MitropoulosDiomidis Spinellis","2015","http://link.springer.com/article/10.1007/s10664-014-9343-7","Article"
"Baget real-time operating system family (features, comparison, and future development)","Programming and Computer Software","","40","5","10.1134/S036176881405003X","A. N. GodunovV. A. Soldatov","2014","http://link.springer.com/article/10.1134/S036176881405003X","Article"
"MaDe4IC: an abstract method for managing model dependencies in inter-organizational cooperations","Service Oriented Computing and Applications","","4","3","10.1007/s11761-010-0062-7","Lianne BodenstaffAndreas WombacherManfred ReichertRoel Wieringa","2010","http://link.springer.com/article/10.1007/s11761-010-0062-7","Article"
"Modeling safety and airworthiness (RTCA DO-178B) information: conceptual model and UML profile","Software & Systems Modeling","","10","3","10.1007/s10270-010-0164-x","Gregory ZoughbiLionel BriandYvan Labiche","2011","http://link.springer.com/article/10.1007/s10270-010-0164-x","Article"
"Automated verification of code automatically generated from Simulink®","Automated Software Engineering","","20","2","10.1007/s10515-012-0116-5","Colin O’Halloran","2013","http://link.springer.com/article/10.1007/s10515-012-0116-5","Article"
"An industrial study of applying input space partitioning to test financial calculation engines","Empirical Software Engineering","","19","3","10.1007/s10664-012-9229-5","Jeff OffuttChandra Alluri","2014","http://link.springer.com/article/10.1007/s10664-012-9229-5","Article"
"On the variation and specialisation of workload—A case study of the Gnome ecosystem community","Empirical Software Engineering","","19","4","10.1007/s10664-013-9244-1","Bogdan VasilescuAlexander SerebrenikMathieu GoeminneTom Mens","2014","http://link.springer.com/article/10.1007/s10664-013-9244-1","Article"
