Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Task estimation for software company employees based on computer interaction logs","Empirical Software Engineering","","26","5","10.1007/s10664-021-10006-4","Florian PellegrinZeynep YücelAkito MondenPattara Leelaprute","2021","http://link.springer.com/article/10.1007/s10664-021-10006-4","Article"
"Demystifying the challenges and benefits of analyzing user-reported logs in bug reports","Empirical Software Engineering","","26","1","10.1007/s10664-020-09893-w","An Ran ChenTse-Hsun (Peter) ChenShaowei Wang","2021","http://link.springer.com/article/10.1007/s10664-020-09893-w","Article"
"World of code: enabling a research workflow for mining and analyzing the universe of open source VCS data","Empirical Software Engineering","","26","2","10.1007/s10664-020-09905-9","Yuxing MaTapajit DeyChris BogartSadika AmreenMarat ValievAdam TutkoDavid KennardRussell ZaretzkiAudris Mockus","2021","http://link.springer.com/article/10.1007/s10664-020-09905-9","Article"
"Interactive log-delta analysis using multi-range filtering","Software and Systems Modeling","","","","10.1007/s10270-021-00902-0","Maxim VidgofDjordje DjuricaSaimir BalaJan Mendling","2021","http://link.springer.com/article/10.1007/s10270-021-00902-0","Article"
"Analysing Time-Stamped Co-Editing Networks in Software Development Teams using git2net","Empirical Software Engineering","","26","4","10.1007/s10664-020-09928-2","Christoph GoteIngo ScholtesFrank Schweitzer","2021","http://link.springer.com/article/10.1007/s10664-020-09928-2","Article"
"Release synchronization in software ecosystems","Empirical Software Engineering","","26","3","10.1007/s10664-020-09929-1","Armstrong FoundjemBram Adams","2021","http://link.springer.com/article/10.1007/s10664-020-09929-1","Article"
"CHECKSUM: tracking changes and measuring contributions in cooperative systems modeling","Software and Systems Modeling","","20","4","10.1007/s10270-020-00840-3","Pierre A. AkikiHoda W. Maalouf","2021","http://link.springer.com/article/10.1007/s10270-020-00840-3","Article"
"Probabilistic modelling and verification using RoboChart and PRISM","Software and Systems Modeling","","","","10.1007/s10270-021-00916-8","Kangfeng YeAna CavalcantiSimon FosterAlvaro MiyazawaJim Woodcock","2021","http://link.springer.com/article/10.1007/s10270-021-00916-8","Article"
"A study into the practice of reporting software engineering experiments","Empirical Software Engineering","","26","6","10.1007/s10664-021-10007-3","Kate RevoredoDjordje DjuricaJan Mendling","2021","http://link.springer.com/article/10.1007/s10664-021-10007-3","Article"
"A privacy and security analysis of early-deployed COVID-19 contact tracing Android apps","Empirical Software Engineering","","26","3","10.1007/s10664-020-09934-4","Majid HatamianSamuel WairimuNurul MomenLothar Fritsch","2021","http://link.springer.com/article/10.1007/s10664-020-09934-4","Article"
"Software development with feature toggles: practices used by practitioners","Empirical Software Engineering","","26","1","10.1007/s10664-020-09901-z","Rezvan Mahdavi-HezavehJacob DremannLaurie Williams","2021","http://link.springer.com/article/10.1007/s10664-020-09901-z","Article"
"Discovering configuration workflows from existing logs using process mining","Empirical Software Engineering","","26","1","10.1007/s10664-020-09911-x","Belén Ramos-GutiérrezÁngel Jesús Varela-VacaJosé A. GalindoMaría Teresa Gómez-LópezDavid Benavides","2021","http://link.springer.com/article/10.1007/s10664-020-09911-x","Article"
"An improved text classification modelling approach to identify security messages in heterogeneous projects","Software Quality Journal","","29","2","10.1007/s11219-020-09546-7","Tosin Daniel OyetoyanPatrick Morrison","2021","http://link.springer.com/article/10.1007/s11219-020-09546-7","Article"
"Monitoring a CI/CD Workflow Using Process Mining","SN Computer Science","","2","6","10.1007/s42979-021-00830-2","Ana Filipa NogueiraMário Zenha-Rela","2021","http://link.springer.com/article/10.1007/s42979-021-00830-2","Article"
"Runtime translation of OCL-like statements on Simulink models: Expanding domains and optimising queries","Software and Systems Modeling","","","","10.1007/s10270-021-00910-0","Beatriz A. SanchezAthanasios ZolotasHoracio Hoyos RodriguezDimitris KolovosRichard F. PaigeJustin C. CooperJason Hampson","2021","http://link.springer.com/article/10.1007/s10270-021-00910-0","Article"
"Software-Defined Dew, Roof, Fog and Cloud (SD-DRFC) Framework for IoT Ecosystem: The Journey, Novel Framework Architecture, Simulation, and Use Cases","SN Computer Science","","2","3","10.1007/s42979-021-00521-y","Ishtiaq AhammadMd. Ashikur Rahman KhanZayed Us Salehin","2021","http://link.springer.com/article/10.1007/s42979-021-00521-y","Article"
"ANCHOR: locating android framework-specific crashing faults","Automated Software Engineering","","28","2","10.1007/s10515-021-00290-1","Pingfan KongLi LiJun GaoTimothée RiomYanjie ZhaoTegawendé F. BissyandéJacques Klein","2021","http://link.springer.com/article/10.1007/s10515-021-00290-1","Article"
